streamName,Site,siteID,Season,minvisitTime,maxvisitTime,minOverall,maxOverall
Feather River,Herringer Riffle,5000,2008-m1,1/1/2008,1/31/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2008-m2,2/1/2008,2/28/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2008-m3,3/1/2008,3/30/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2008-m4,4/1/2008,4/30/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2008-m5,5/1/2008,5/31/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2008-m6,6/1/2008,6/30/2008,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2016-m1,1/1/2016,1/31/2016,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2016-m2,2/1/2016,2/28/2016,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2016-m3,3/1/2016,3/30/2016,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2012-m0,12/1/2011,12/31/2011,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2012-m1,1/1/2012,1/31/2012,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2012-m2,2/1/2012,2/28/2012,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2012-m3,3/1/2012,3/30/2012,11/2/1959,6/22/1960
Feather River,Herringer Riffle,5000,2012-m4,4/1/2012,4/30/2012,11/2/1959,6/22/1960
Sacramento River,RBDD RST,42000,1998-m6,5/1/1998,6/1/1998,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1998-m7,6/1/1998,7/1/1998,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1998-m8,7/1/1998,8/1/1998,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1998-m9,8/1/1998,9/1/1998,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1999-m6,5/1/1999,6/1/1999,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1999-m7,6/1/1999,7/1/1999,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1999-m8,7/1/1999,8/1/1999,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,1999-m9,8/1/1999,9/1/1999,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,2000-m6,5/1/2000,6/1/2000,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,2000-m7,6/1/2000,7/1/2000,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,2002-m6,5/1/2002,6/1/2002,12/1/1959,11/30/1960
Sacramento River,RBDD RST,42000,2002-m7,6/1/2002,7/1/2002,12/1/1959,11/30/1960
